Dia;Mes;Nombre;Prioridad
2;Enero;Junta de la empresa;4
2;Enero;Visitar cliente;4
2;Enero;Recoger hijos;1
2;Enero;Partido furbol;2
3;Enero;Junta con jefe;5
3;Enero;Junta de la empresa;4
3;Enero;Almuerzo colegas;3
3;Enero;Cita medica;6
3;Enero;Cena con esposa;5
4;Enero;Junta trabajo;3
4;Enero;Entregar informes;6
4;Enero;Recoger hijos;5
4;Enero;cena familiar;3
5;Enero;Medico;3
5;Enero;Partido hijos;4
5;Enero;comprar medicamentos;2
5;Enero;Junta directiva;6
8;Enero;Junta jefe;5
8;Enero;Visitar cliente;4
8;Enero;Recoger hijos;6
8;Enero;Veterinario perro;4
8;Enero;Futbol;2
9;Enero;Junta de la empresa;4
9;Enero;Almuerzo colegas;3
9;Enero;Recoger hijos;6
9;Enero;Recoger esposa;6
9;Enero;Recoger hija mayor;7
10;Enero;Conocer cliente;5
10;Enero;Visitar cliente;4
10;Enero;Recoger hijos;6
10;Enero;Cena con vecinos;4
11;Enero;Junta de la empresa;4
11;Enero;Visitar cliente;4
11;Enero;Visitar cliente;4
11;Enero;Recoger hijos;6
11;Enero;Ver nueva serie;1
12;Enero;Junta jefe;5
12;Enero;Almuerzo colegas;3
12;Enero;Recoger hijos;6
12;Enero;Recoger hija mayor;7
12;Enero;Cena familiar;5
15;Enero;Medico;5
15;Enero;Junta de la empresa;4
15;Enero;Visitar cliente;4
15;Enero;Recoger hijos;6
16;Enero;Junta jefe;5
16;Enero;Visitar cliente;4
16;Enero;Recoger hijos;6
16;Enero;Veterinario perro;4
16;Enero;Futbol;2
17;Enero;Junta jefe;5
17;Enero;Visitar cliente;4
17;Enero;Recoger hijos;6
18;Enero;Junta de la empresa;4
18;Enero;Visitar cliente;4
18;Enero;Visitar cliente;4
18;Enero;Recoger hijos;6
18;Enero;Ver nueva serie;1
19;Enero;Entregar informes;3
19;Enero;Visitar cliente;4
19;Enero;Recoger hijos;6
22;Enero;Junta jefe;5
22;Enero;Visitar cliente;4
22;Enero;Recoger hijos;6
22;Enero;Buscar hija;7
23;Enero;Futbol;2
23;Enero;Entregar informes;3
23;Enero;Ascenso corporativo;10
23;Enero;Fiesta ;6
23;Enero;Cena familiar;8
24;Enero;Entregar informes;3
24;Enero;Visitar cliente;4
24;Enero;Recoger hijos;6
25;Enero;Junta de la empresa;4
25;Enero;Visitar cliente;4
25;Enero;Visitar cliente;4
25;Enero;Recoger hijos;6
25;Enero;Ver nueva serie;1
26;Enero;Reunion corporativa;5
26;Enero;Entregar informes;3
26;Enero;Recoger hijos;6
26;Enero;Cena familiar;5
